,AR ID (string),Landfall Datetime,Max ERM,Max IVT,Max MJO LPT Vol. Rain,End Season Year,Month,AR ID (Number)
0,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2000060100_2001063023/lpt_system_mask_ar.lptid00077.2000.nc,2000-07-27T01:00:00,0.5897097542961113,1595.3215,343886528.0,2000,7,77.2
1,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2000060100_2001063023/lpt_system_mask_ar.lptid00077.7000.nc,2000-07-28T00:00:00,0.4965781584283396,1691.7664,0.0,2000,8,77.7
2,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2000060100_2001063023/lpt_system_mask_ar.lptid00297.3000.nc,2000-10-16T19:00:00,0.9480610188856052,1037.1655,159163536.0,2000,10,297.3
3,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2000060100_2001063023/lpt_system_mask_ar.lptid00297.4000.nc,2000-10-19T19:00:00,1.402869378321408,1423.6422,96953920.0,2000,10,297.4
4,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2000060100_2001063023/lpt_system_mask_ar.lptid00410.3000.nc,2000-11-27T00:00:00,0.724921558896668,916.03796,124232896.0,2000,11,410.3
5,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2000060100_2001063023/lpt_system_mask_ar.lptid00520.2000.nc,2001-02-02T01:00:00,0.6859087944030762,1237.8226,346961344.0,2000,2,520.2
6,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00071.1100.nc,2001-07-27T23:00:00,0.6860873699188232,1388.4607,0.0,2001,7,71.11
7,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00071.1300.nc,2001-08-02T11:00:00,0.6860873699188232,3187.4207,0.0,2001,8,71.13
8,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00071.2000.nc,2001-08-21T06:00:00,0.7894194722175598,1019.0837,0.0,2001,8,71.2
9,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00071.2200.nc,2001-08-27T18:00:00,0.1079501137137413,1190.0664,0.0,2001,8,71.22
10,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00071.2300.nc,2001-08-27T21:00:00,0.4493919610977173,1218.7217,0.0,2001,8,71.23
11,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00071.2700.nc,2001-09-03T05:00:00,0.4607689678668976,956.2477,0.0,2001,9,71.27
12,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00206.1700.nc,2001-10-10T12:00:00,0.8935809135437012,2778.3767,232595936.0,2001,10,206.17
13,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00206.1800.nc,2001-10-18T12:00:00,0.768246054649353,1798.6715,230515280.0,2001,10,206.18
14,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00206.1900.nc,2001-10-22T09:00:00,0.9327823519706726,3029.5017,149747136.0,2001,10,206.19
15,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00206.2200.nc,2001-10-26T05:00:00,0.9327823519706726,1211.7935,127404576.0,2001,10,206.22
16,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00206.2300.nc,2001-11-04T07:00:00,0.3720894157886505,3263.1448,158356416.0,2001,10,206.23
17,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00329.0800.nc,2001-11-23T05:00:00,1.6104954481124878,1778.5062,289882816.0,2001,11,329.08
18,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00329.1000.nc,2001-11-24T08:00:00,1.5571378469467163,1138.7617,161358512.0,2001,11,329.1
19,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00329.1200.nc,2001-12-01T22:00:00,0.9893132448196412,1155.429,251679568.0,2001,12,329.12
